"Week of","Commits"
"2012-08-05",9
"2012-08-12",7
"2012-08-19",39
"2012-08-26",15
"2012-09-02",32
"2012-09-09",65
"2012-09-16",12
"2012-09-23",10
"2012-09-30",32
"2012-10-07",6
"2012-10-14",32
"2012-10-21",27
"2012-10-28",37
"2012-11-04",78
"2012-11-11",39
"2012-11-18",26
"2012-11-25",51
"2012-12-02",113
"2012-12-09",71
"2012-12-16",54
"2012-12-23",5
"2012-12-30",30
"2013-01-06",45
"2013-01-13",54
"2013-01-20",24
"2013-01-27",49
"2013-02-03",18
"2013-02-10",21
"2013-02-17",32
"2013-02-24",22
"2013-03-03",27
"2013-03-10",35
"2013-03-17",27
"2013-03-24",23
"2013-03-31",37
"2013-04-07",31
"2013-04-14",47
"2013-04-21",39
"2013-04-28",20
"2013-05-05",58
"2013-05-12",42
"2013-05-19",52
"2013-05-26",51
"2013-06-02",24
"2013-06-09",29
"2013-06-16",31
"2013-06-23",22
"2013-06-30",12
"2013-07-07",10
"2013-07-14",24
"2013-07-21",7
"2013-07-28",17
"2013-08-04",11
"2013-08-11",10
"2013-08-18",12
"2013-08-25",76
"2013-09-01",12
"2013-09-08",17
"2013-09-15",29
"2013-09-22",47
"2013-09-29",31
"2013-10-06",17
"2013-10-13",13
"2013-10-20",6
"2013-10-27",21
"2013-11-03",16
"2013-11-10",4
"2013-11-17",20
"2013-11-24",8
"2013-12-01",41
"2013-12-08",8
"2013-12-15",32
"2013-12-22",12
"2013-12-29",19
"2014-01-05",15
"2014-01-12",11
"2014-01-19",15
"2014-01-26",6
"2014-02-02",37
"2014-02-09",40
"2014-02-16",20
"2014-02-23",19
"2014-03-02",17
"2014-03-09",27
"2014-03-16",22
"2014-03-23",22
"2014-03-30",11
"2014-04-06",23
"2014-04-13",21
"2014-04-20",46
"2014-04-27",68
"2014-05-04",32
"2014-05-11",16
"2014-05-18",44
"2014-05-25",25
"2014-06-01",37
"2014-06-08",66
"2014-06-15",63
"2014-06-22",41
"2014-06-29",25
"2014-07-06",25
"2014-07-13",35
"2014-07-20",34
"2014-07-27",27
"2014-08-03",22
"2014-08-10",29
"2014-08-17",58
"2014-08-24",31
"2014-08-31",21
"2014-09-07",41
"2014-09-14",72
"2014-09-21",41
"2014-09-28",56
"2014-10-05",76
"2014-10-12",57
"2014-10-19",37
"2014-10-26",26
"2014-11-02",56
"2014-11-09",20
"2014-11-16",32
"2014-11-23",19
"2014-11-30",75
"2014-12-07",107
"2014-12-14",55
"2014-12-21",23
"2014-12-28",25
"2015-01-04",32
"2015-01-11",19
"2015-01-18",32
"2015-01-25",36
"2015-02-01",28
"2015-02-08",25
"2015-02-15",27
"2015-02-22",45
"2015-03-01",26
"2015-03-08",54
"2015-03-15",34
"2015-03-22",41
"2015-03-29",69
"2015-04-05",50
"2015-04-12",76
"2015-04-19",56
"2015-04-26",64
"2015-05-03",32
"2015-05-10",53
"2015-05-17",67
"2015-05-24",38
"2015-05-31",42
"2015-06-07",21
"2015-06-14",32
"2015-06-21",50
"2015-06-28",26
"2015-07-05",13
"2015-07-12",31
"2015-07-19",52
"2015-07-26",43
"2015-08-02",25
"2015-08-09",34
"2015-08-16",45
"2015-08-23",37
"2015-08-30",48
"2015-09-06",28
"2015-09-13",52
"2015-09-20",49
"2015-09-27",26
"2015-10-04",45
"2015-10-11",40
"2015-10-18",31
"2015-10-25",59
"2015-11-01",48
"2015-11-08",41
"2015-11-15",31
"2015-11-22",26
"2015-11-29",46
"2015-12-06",50
"2015-12-13",71
"2015-12-20",23
"2015-12-27",27
"2016-01-03",50
"2016-01-10",40
"2016-01-17",40
"2016-01-24",50
"2016-01-31",35
"2016-02-07",36
"2016-02-14",19
"2016-02-21",49
"2016-02-28",41
"2016-03-06",43
"2016-03-13",50
"2016-03-20",45
"2016-03-27",42
"2016-04-03",51
"2016-04-10",30
"2016-04-17",69
"2016-04-24",52
"2016-05-01",58
"2016-05-08",57
"2016-05-15",41
"2016-05-22",24
"2016-05-29",53
"2016-06-05",32
"2016-06-12",28
"2016-06-19",82
"2016-06-26",38
"2016-07-03",42
"2016-07-10",60
"2016-07-17",50
"2016-07-24",40
"2016-07-31",39
"2016-08-07",43
"2016-08-14",62
"2016-08-21",92
"2016-08-28",74
"2016-09-04",52
"2016-09-11",57
"2016-09-18",49
"2016-09-25",57
"2016-10-02",46
"2016-10-09",46
"2016-10-16",59
"2016-10-23",63
"2016-10-30",59
"2016-11-06",39
"2016-11-13",42
"2016-11-20",23
"2016-11-27",66
"2016-12-04",68
"2016-12-11",52
"2016-12-18",23
"2016-12-25",21
"2017-01-01",22
"2017-01-08",56
"2017-01-15",51
"2017-01-22",53
"2017-01-29",67
"2017-02-05",40
"2017-02-12",55
"2017-02-19",48
"2017-02-26",39
"2017-03-05",54
"2017-03-12",31
"2017-03-19",48
"2017-03-26",46
"2017-04-02",50
"2017-04-09",41
"2017-04-16",35
"2017-04-23",30
"2017-04-30",44
"2017-05-07",27
"2017-05-14",81
"2017-05-21",52
"2017-05-28",51
"2017-06-04",55
"2017-06-11",46
"2017-06-18",94
"2017-06-25",40
"2017-07-02",31
"2017-07-09",33
"2017-07-16",58
"2017-07-23",46
"2017-07-30",34
"2017-08-06",61
"2017-08-13",52
"2017-08-20",39
"2017-08-27",37
"2017-09-03",20
"2017-09-10",46
"2017-09-17",65
"2017-09-24",23
"2017-10-01",24
"2017-10-08",35
"2017-10-15",34
"2017-10-22",33
"2017-10-29",39
"2017-11-05",31
"2017-11-12",20
"2017-11-19",46
"2017-11-26",81
"2017-12-03",48
"2017-12-10",49
"2017-12-17",71
"2017-12-24",44
"2017-12-31",36
"2018-01-07",63
"2018-01-14",31
"2018-01-21",36
"2018-01-28",73
"2018-02-04",108
"2018-02-11",67
"2018-02-18",76
"2018-02-25",82
"2018-03-04",52
"2018-03-11",32
"2018-03-18",90
"2018-03-25",83
"2018-04-01",37
"2018-04-08",62
"2018-04-15",69
"2018-04-22",43
"2018-04-29",46
"2018-05-06",38
"2018-05-13",44
"2018-05-20",69
"2018-05-27",35
"2018-06-03",62
"2018-06-10",49
"2018-06-17",79
"2018-06-24",29
"2018-07-01",35
"2018-07-08",32
"2018-07-15",53
"2018-07-22",47
"2018-07-29",44
"2018-08-05",35
"2018-08-12",40
"2018-08-19",55
"2018-08-26",36
"2018-09-02",44
"2018-09-09",20
"2018-09-16",60
"2018-09-23",35
"2018-09-30",37
"2018-10-07",43
"2018-10-14",43
"2018-10-21",36
"2018-10-28",57
"2018-11-04",48
"2018-11-11",21
"2018-11-18",19
"2018-11-25",16
"2018-12-02",24
"2018-12-09",21
"2018-12-16",22
"2018-12-23",11
"2018-12-30",17
"2019-01-06",14
"2019-01-13",11
"2019-01-20",7
"2019-01-27",21
"2019-02-03",18
"2019-02-10",21
"2019-02-17",25
"2019-02-24",59
"2019-03-03",41
"2019-03-10",17
"2019-03-17",31
"2019-03-24",34
"2019-03-31",56
"2019-04-07",34
"2019-04-14",63
"2019-04-21",20
"2019-04-28",22
"2019-05-05",22
"2019-05-12",32
"2019-05-19",52
"2019-05-26",24
"2019-06-02",11
"2019-06-09",32
"2019-06-16",46
"2019-06-23",27
"2019-06-30",10
"2019-07-07",22
"2019-07-14",19
"2019-07-21",43
"2019-07-28",22
"2019-08-04",21
"2019-08-11",52
"2019-08-18",24
"2019-08-25",21
"2019-09-01",34
"2019-09-08",17
"2019-09-15",33
"2019-09-22",28
"2019-09-29",23
"2019-10-06",28
"2019-10-13",15
"2019-10-20",17
"2019-10-27",20
"2019-11-03",39
"2019-11-10",17
"2019-11-17",14
"2019-11-24",13
"2019-12-01",12
"2019-12-08",32
"2019-12-15",15
"2019-12-22",6
"2019-12-29",8
"2020-01-05",25
"2020-01-12",12
"2020-01-19",13
"2020-01-26",23
"2020-02-02",20
"2020-02-09",29
"2020-02-16",24
"2020-02-23",43
"2020-03-01",31
"2020-03-08",16
"2020-03-15",8
"2020-03-22",14
"2020-03-29",34
"2020-04-05",27
"2020-04-12",31
"2020-04-19",17
"2020-04-26",13
"2020-05-03",38
"2020-05-10",28
"2020-05-17",19
"2020-05-24",12
"2020-05-31",70
"2020-06-07",82
"2020-06-14",31
"2020-06-21",15
"2020-06-28",64
"2020-07-05",46
"2020-07-12",22
"2020-07-19",24
"2020-07-26",90
"2020-08-02",44
"2020-08-09",36
"2020-08-16",20
"2020-08-23",16
"2020-08-30",11
"2020-09-06",20
"2020-09-13",17
"2020-09-20",26
"2020-09-27",17
"2020-10-04",19
"2020-10-11",18
"2020-10-18",15
"2020-10-25",15
"2020-11-01",15
"2020-11-08",10
"2020-11-15",12
"2020-11-22",13
"2020-11-29",9
"2020-12-06",12
"2020-12-13",22
"2020-12-20",14
"2020-12-27",6
"2021-01-03",10
"2021-01-10",9
"2021-01-17",5
"2021-01-24",24
"2021-01-31",10
"2021-02-07",8
"2021-02-14",7
"2021-02-21",12
"2021-02-28",17
"2021-03-07",18
"2021-03-14",8
"2021-03-21",16
"2021-03-28",20
"2021-04-04",14
"2021-04-11",20
"2021-04-18",18
"2021-04-25",20
"2021-05-02",22
"2021-05-09",31
"2021-05-16",26
"2021-05-23",20
"2021-05-30",18
"2021-06-06",10
"2021-06-13",24
"2021-06-20",17
"2021-06-27",22
"2021-07-04",7
"2021-07-11",7
"2021-07-18",15
"2021-07-25",14
"2021-08-01",20
"2021-08-08",13
"2021-08-15",10
"2021-08-22",14
"2021-08-29",8
"2021-09-05",20
"2021-09-12",15
"2021-09-19",14
"2021-09-26",12
"2021-10-03",16
"2021-10-10",16
"2021-10-17",18
"2021-10-24",12
"2021-10-31",7
"2021-11-07",12
"2021-11-14",11
"2021-11-21",6
"2021-11-28",4
"2021-12-05",6
"2021-12-12",11
"2021-12-19",4
"2021-12-26",2
"2022-01-02",5
"2022-01-09",13
"2022-01-16",10
"2022-01-23",16
"2022-01-30",12
"2022-02-06",9
"2022-02-13",14
"2022-02-20",13
"2022-02-27",17
"2022-03-06",19
"2022-03-13",9
"2022-03-20",22
"2022-03-27",13
"2022-04-03",24
"2022-04-10",15
"2022-04-17",15
"2022-04-24",15
"2022-05-01",12
"2022-05-08",6
"2022-05-15",12
"2022-05-22",2
"2022-05-29",14
"2022-06-05",11
"2022-06-12",13
"2022-06-19",11
"2022-06-26",14
"2022-07-03",12
"2022-07-10",10
"2022-07-17",15
"2022-07-24",16
"2022-07-31",5
"2022-08-07",16
"2022-08-14",14
"2022-08-21",19
"2022-08-28",18
"2022-09-04",14
"2022-09-11",20
"2022-09-18",16
"2022-09-25",20
"2022-10-02",15
"2022-10-09",10
"2022-10-16",25
"2022-10-23",8
"2022-10-30",12
"2022-11-06",24
"2022-11-13",25
"2022-11-20",7
"2022-11-27",14
"2022-12-04",13
"2022-12-11",14
"2022-12-18",21
"2022-12-25",7
"2023-01-01",6
"2023-01-08",8
"2023-01-15",17
"2023-01-22",18
"2023-01-29",17
"2023-02-05",13
"2023-02-12",16
"2023-02-19",16
"2023-02-26",21
"2023-03-05",16
"2023-03-12",22
"2023-03-19",27
"2023-03-26",20
"2023-04-02",19
"2023-04-09",27
"2023-04-16",26
"2023-04-23",16
"2023-04-30",39
"2023-05-07",31
"2023-05-14",30
"2023-05-21",24
"2023-05-28",24
"2023-06-04",42
"2023-06-11",23
"2023-06-18",25
"2023-06-25",26
"2023-07-02",19
"2023-07-09",27
"2023-07-16",35
"2023-07-23",25
"2023-07-30",34
"2023-08-06",22
"2023-08-13",22
"2023-08-20",32
"2023-08-27",35
"2023-09-03",25
"2023-09-10",31
"2023-09-17",24
"2023-09-24",30
"2023-10-01",29
"2023-10-08",36
"2023-10-15",26
"2023-10-22",31
"2023-10-29",32
"2023-11-05",21
"2023-11-12",29
"2023-11-19",12
"2023-11-26",15
"2023-12-03",19
"2023-12-10",22
"2023-12-17",22
"2023-12-24",12
"2023-12-31",15
"2024-01-07",24
"2024-01-14",21
"2024-01-21",40
"2024-01-28",25
"2024-02-04",16
"2024-02-11",33
"2024-02-18",21
"2024-02-25",33
"2024-03-03",35
"2024-03-10",24
"2024-03-17",52
"2024-03-24",36
"2024-03-31",29
"2024-04-07",47
"2024-04-14",36
"2024-04-21",18
"2024-04-28",31
"2024-05-05",29
"2024-05-12",37
"2024-05-19",26
"2024-05-26",37
"2024-06-02",45
"2024-06-09",27
"2024-06-16",25
"2024-06-23",21
"2024-06-30",14
"2024-07-07",30
"2024-07-14",35
"2024-07-21",22
"2024-07-28",24
"2024-08-04",20
"2024-08-11",23
"2024-08-18",22
"2024-08-25",31
"2024-09-01",18
"2024-09-08",23
"2024-09-15",13
"2024-09-22",19
"2024-09-29",15
"2024-10-06",16
"2024-10-13",14
"2024-10-20",10
"2024-10-27",18
"2024-11-03",21
"2024-11-10",8
"2024-11-17",17
"2024-11-24",9
"2024-12-01",17
"2024-12-08",14
"2024-12-15",10
"2024-12-22",6
"2024-12-29",3
"2025-01-05",9
"2025-01-12",18
"2025-01-19",11